Ticker,Company Name
PKPK,PT Perdana Karya Perkasa Tbk
MHKI,PT Multi Hanna Kreasindo Tbk
DGIK,PT Nusa Konstruksi Enjiniring Tbk
PBRX,PT Pan Brothers Tbk
ZINC,PT Kapuas Prima Coal Tbk
GEMA,PT Gema Grahasarana Tbk
CLAY,PT Citra Putra Realty Tbk
PEVE,PT. Penta Valent Tbk
KIAS,PT Keramika Indonesia Assosiasi Tbk
AKPI,PT Argha Karya Prima Industry Tbk
GPRA,PT Perdana Gapuraprima Tbk
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk
ROCK,PT Rockfields Properti Indonesia Tbk.
SWID,PT Saraswanti Indoland Development Tbk
HALO,PT Haloni Jane Tbk
AGAR,PT Asia Sejahtera Mina Tbk
SCNP,PT Selaras Citra Nusantara Perkasa Tbk
RIGS,PT Rig Tenders Indonesia Tbk
BMSR,PT Bintang Mitra Semestaraya Tbk
KMDS,"PT Kurniamitra Duta Sentosa, Tbk"
ZBRA,PT Dosni Roha Indonesia Tbk
LEAD,PT Logindo Samudramakmur Tbk.
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk
DGNS,PT Diagnos Laboratorium Utama Tbk
SOSS,PT Shield On Service Tbk
PNSE,PT Pudjiadi and Sons Tbk
BEBS,PT Berkah Beton Sadaya Tbk
PEGE,PT Panca Global Kapital Tbk
NICK,PT Charnic Capital Tbk
KBLM,PT Kabelindo Murni Tbk
CCSI,PT Communication Cable Systems Indonesia Tbk
TRUS,PT Trust Finance Indonesia Tbk
HOMI,PT Grand House Mulia Tbk
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk
TOSK,PT Topindo Solusi Komunika Tbk
HYGN,PT Ecocare Indo Pasifik Tbk
PEHA,PT Phapros Tbk
CLPI,PT Colorpak Indonesia Tbk
KOBX,PT Kobexindo Tractors Tbk
IDPR,PT Indonesia Pondasi Raya Tbk
SOTS,PT Satria Mega Kencana Tbk
SRSN,PT Indo Acidatama Tbk
ALMI,PT Alumindo Light Metal Industry Tbk
OKAS,PT Ancora Indonesia Resources Tbk
BTON,PT Betonjaya Manunggal Tbk
ASBI,PT Asuransi Bintang Tbk
ASLI,PT Asri Karya Lestari Tbk
KONI,PT Perdana Bangun Pusaka Tbk
ATLA,PT Atlantis Subsea Indonesia Tbk
MICE,PT Multi Indocitra Tbk
BPTR,PT Batavia Prosperindo Trans Tbk
LPLI,PT Star Pacific Tbk
TRJA,PT Transkon Jaya Tbk
LCKM,PT LCK Global Kedaton Tbk
HELI,PT Jaya Trishindo Tbk
ECII,PT Electronic City Indonesia Tbk
HAJJ,PT Arsy Buana Travelindo Tbk
MEJA,PT Harta Djaya Karya Tbk
RMKO,PT Royaltama Mulia Kontraktorindo Tbk
CBPE,PT Citra Buana Prasida Tbk
MYTX,PT Asia Pacific Investama Tbk
ACRO,PT Samcro Hyosung Adilestari Tbk
CRSN,PT Carsurin Tbk
KOPI,PT Mitra Energi Persada Tbk
PTMP,PT Mitra Pack Tbk
BKDP,PT Bukit Darmo Property Tbk
MARI,PT Mahaka Radio Integra Tbk
MUTU,PT Mutuagung Lestari Tbk
PTSP,PT Pioneerindo Gourmet International Tbk
TRON,PT Teknologi Karya Digital Nusa Tbk
ASPI,PT Andalan Sakti Primaindo Tbk
SNLK,PT Sunter Lakeside Hotel Tbk
JGLE,PT Graha Andrasentra Propertindo Tbk
TIRA,PT Tira Austenite Tbk
ESTA,PT Esta Multi Usaha Tbk
ITIC,PT Indonesian Tobacco Tbk
FUJI,PT Fuji Finance Indonesia Tbk
STAR,PT Buana Artha Anugerah Tbk
IKAI,PT Intikeramik Alamasri Industri Tbk
BATR,PT Benteng Api Technic Tbk
PSKT,PT Red Planet Indonesia Tbk
SATU,PT Kota Satu Properti Tbk
